------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 048B 4F00 E745 04
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -2
lat, 36.620764
long, -121.904805
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2024-08-21 21:44:19,NA
2024-08-21 21:49:19,24.0
2024-08-21 21:54:19,9.1
2024-08-21 21:59:19,4.6
2024-08-21 22:04:19,4.7
2024-08-21 22:09:19,5.1
2024-08-21 22:14:19,5.6
2024-08-21 22:19:19,5.9
2024-08-21 22:24:19,6.3
2024-08-21 22:29:19,6.7
2024-08-21 22:34:19,7.0
2024-08-21 22:39:19,7.4
2024-08-21 22:44:19,7.7
2024-08-21 22:49:19,8.1
2024-08-21 22:54:19,8.5
2024-08-21 22:59:19,8.8
2024-08-21 23:04:19,9.1
2024-08-21 23:09:19,9.5
2024-08-21 23:14:19,9.7
2024-08-21 23:19:19,10.3
2024-08-21 23:24:19,11.0
2024-08-21 23:29:19,11.4
2024-08-21 23:34:19,11.5
2024-08-21 23:39:19,11.8
2024-08-21 23:44:19,12.1
2024-08-21 23:49:19,12.3
2024-08-21 23:54:19,12.6
2024-08-21 23:59:19,12.9
2024-08-22 00:04:19,12.7
2024-08-22 00:09:19,5.2
2024-08-22 00:14:19,1.3
2024-08-22 00:19:19,0.7
2024-08-22 00:24:19,0.6
2024-08-22 00:29:19,0.7
2024-08-22 00:34:19,0.7
2024-08-22 00:39:19,0.7
2024-08-22 00:44:19,0.8
2024-08-22 00:49:19,0.8
2024-08-22 00:54:19,0.9
2024-08-22 00:59:19,1.1
2024-08-22 01:04:19,1.3
2024-08-22 01:09:19,1.5
2024-08-22 01:14:19,1.7
2024-08-22 01:19:19,2.0
2024-08-22 01:24:19,2.4
2024-08-22 01:29:19,2.7
2024-08-22 01:34:19,3.1
2024-08-22 01:39:19,3.5
2024-08-22 01:44:19,3.9
2024-08-22 01:49:19,4.3
2024-08-22 01:54:19,4.7
2024-08-22 01:59:19,5.1
2024-08-22 02:04:19,5.4
2024-08-22 02:09:19,5.8
2024-08-22 02:14:19,6.1
2024-08-22 02:19:19,6.5
2024-08-22 02:24:19,6.8
2024-08-22 02:29:19,7.2
2024-08-22 02:34:19,7.5
2024-08-22 02:39:19,7.8
2024-08-22 02:44:19,8.1
2024-08-22 02:49:19,8.4
2024-08-22 02:54:19,8.6
2024-08-22 02:59:19,9.0
2024-08-22 03:04:19,9.2
2024-08-22 03:09:19,9.5
2024-08-22 03:14:19,9.7
