------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0441 F100 3817 08
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -2
lat, 36.620756
long, -121.904821
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2024-08-21 21:46:14,NA
2024-08-21 21:51:14,24.6
2024-08-21 21:56:14,4.9
2024-08-21 22:01:14,4.6
2024-08-21 22:06:14,5.0
2024-08-21 22:11:14,5.4
2024-08-21 22:16:14,5.8
2024-08-21 22:21:14,6.2
2024-08-21 22:26:14,6.6
2024-08-21 22:31:14,7.0
2024-08-21 22:36:14,7.3
2024-08-21 22:41:14,7.6
2024-08-21 22:46:14,8.0
2024-08-21 22:51:14,8.4
2024-08-21 22:56:14,8.7
2024-08-21 23:01:14,9.0
2024-08-21 23:06:14,9.3
2024-08-21 23:11:14,9.7
2024-08-21 23:16:14,9.9
2024-08-21 23:21:14,10.2
2024-08-21 23:26:14,10.5
2024-08-21 23:31:14,10.8
2024-08-21 23:36:14,11.1
2024-08-21 23:41:14,11.3
2024-08-21 23:46:14,11.6
2024-08-21 23:51:14,11.9
2024-08-21 23:56:14,12.1
2024-08-22 00:01:14,12.2
2024-08-22 00:06:14,12.6
2024-08-22 00:11:14,2.5
2024-08-22 00:16:14,1.0
2024-08-22 00:21:14,0.8
2024-08-22 00:26:14,0.8
2024-08-22 00:31:14,0.8
2024-08-22 00:36:14,0.9
2024-08-22 00:41:14,0.9
2024-08-22 00:46:14,0.9
2024-08-22 00:51:14,1.0
2024-08-22 00:56:14,1.1
2024-08-22 01:01:14,1.3
2024-08-22 01:06:14,1.4
2024-08-22 01:11:14,1.6
2024-08-22 01:16:14,1.9
2024-08-22 01:21:14,2.3
2024-08-22 01:26:14,2.6
2024-08-22 01:31:14,2.9
2024-08-22 01:36:14,3.4
2024-08-22 01:41:14,3.8
2024-08-22 01:46:14,4.1
2024-08-22 01:51:14,4.5
2024-08-22 01:56:14,4.9
2024-08-22 02:01:14,5.3
2024-08-22 02:06:14,5.6
2024-08-22 02:11:14,6.0
2024-08-22 02:16:14,6.3
2024-08-22 02:21:14,6.7
2024-08-22 02:26:14,7.1
2024-08-22 02:31:14,7.4
2024-08-22 02:36:14,7.6
2024-08-22 02:41:14,8.0
2024-08-22 02:46:14,8.3
2024-08-22 02:51:14,8.6
2024-08-22 02:56:14,8.9
2024-08-22 03:01:14,9.1
2024-08-22 03:06:14,9.4
2024-08-22 03:11:14,9.7
2024-08-22 03:16:14,9.9
