------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0413 2900 B80D 0B
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -2
lat, 36.620744
long, -121.904818
accuracy (m), 5.0
------------------------------,--------------------
time,temp
2024-08-21 21:43:51,NA
2024-08-21 21:48:51,23.9
2024-08-21 21:53:51,9.6
2024-08-21 21:58:51,4.4
2024-08-21 22:03:51,4.6
2024-08-21 22:08:51,5.0
2024-08-21 22:13:51,5.5
2024-08-21 22:18:51,5.9
2024-08-21 22:23:51,6.2
2024-08-21 22:28:51,6.6
2024-08-21 22:33:51,6.9
2024-08-21 22:38:51,7.4
2024-08-21 22:43:51,7.7
2024-08-21 22:48:51,8.0
2024-08-21 22:53:51,8.4
2024-08-21 22:58:51,8.7
2024-08-21 23:03:51,9.0
2024-08-21 23:08:51,9.4
2024-08-21 23:13:51,9.6
2024-08-21 23:18:51,9.9
2024-08-21 23:23:51,10.2
2024-08-21 23:28:51,10.5
2024-08-21 23:33:51,10.8
2024-08-21 23:38:51,11.1
2024-08-21 23:43:51,11.3
2024-08-21 23:48:51,11.6
2024-08-21 23:53:51,11.9
2024-08-21 23:58:51,12.4
2024-08-22 00:03:51,12.5
2024-08-22 00:08:51,6.1
2024-08-22 00:13:51,1.4
2024-08-22 00:18:51,0.8
2024-08-22 00:23:51,0.6
2024-08-22 00:28:51,0.6
2024-08-22 00:33:51,0.6
2024-08-22 00:38:51,0.7
2024-08-22 00:43:51,0.7
2024-08-22 00:48:51,0.8
2024-08-22 00:53:51,0.9
2024-08-22 00:58:51,1.0
2024-08-22 01:03:51,1.2
2024-08-22 01:08:51,1.4
2024-08-22 01:13:51,1.6
2024-08-22 01:18:51,1.9
2024-08-22 01:23:51,2.3
2024-08-22 01:28:51,2.6
2024-08-22 01:33:51,3.0
2024-08-22 01:38:51,3.4
2024-08-22 01:43:51,3.8
2024-08-22 01:48:51,4.1
2024-08-22 01:53:51,4.6
2024-08-22 01:58:51,4.9
2024-08-22 02:03:51,5.4
2024-08-22 02:08:51,5.6
2024-08-22 02:13:51,6.1
2024-08-22 02:18:51,6.4
2024-08-22 02:23:51,6.7
2024-08-22 02:28:51,7.1
2024-08-22 02:33:51,7.3
2024-08-22 02:38:51,7.7
2024-08-22 02:43:51,8.0
2024-08-22 02:48:51,8.3
2024-08-22 02:53:51,8.6
2024-08-22 02:58:51,8.9
2024-08-22 03:03:51,9.1
2024-08-22 03:08:51,9.4
