------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 049A 2500 9F39 0B
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 234
time diff [logger-smartphone](sec), -4
lat, 36.620756
long, -121.904798
accuracy (m), 5.0
------------------------------,--------------------
time,temp
2024-08-21 21:24:27,NA
2024-08-21 21:29:27,24.3
2024-08-21 21:34:27,24.2
2024-08-21 21:39:27,23.9
2024-08-21 21:44:27,23.9
2024-08-21 21:49:27,23.8
2024-08-21 21:54:27,7.7
2024-08-21 21:59:27,4.5
2024-08-21 22:04:27,4.8
2024-08-21 22:09:27,5.2
2024-08-21 22:14:27,5.6
2024-08-21 22:19:27,6.0
2024-08-21 22:24:27,6.4
2024-08-21 22:29:27,6.8
2024-08-21 22:34:27,7.1
2024-08-21 22:39:27,7.5
2024-08-21 22:44:27,7.8
2024-08-21 22:49:27,8.2
2024-08-21 22:54:27,8.5
2024-08-21 22:59:27,8.8
2024-08-21 23:04:27,9.2
2024-08-21 23:09:27,9.4
2024-08-21 23:14:27,9.9
2024-08-21 23:19:27,10.1
2024-08-21 23:24:27,10.4
2024-08-21 23:29:27,10.7
2024-08-21 23:34:27,10.9
2024-08-21 23:39:27,11.2
2024-08-21 23:44:27,11.5
2024-08-21 23:49:27,11.8
2024-08-21 23:54:27,12.0
2024-08-21 23:59:27,12.1
2024-08-22 00:04:27,12.5
2024-08-22 00:09:27,6.9
2024-08-22 00:14:27,2.0
2024-08-22 00:19:27,1.0
2024-08-22 00:24:27,0.8
2024-08-22 00:29:27,0.8
2024-08-22 00:34:27,0.9
2024-08-22 00:39:27,1.0
2024-08-22 00:44:27,1.0
2024-08-22 00:49:27,1.0
2024-08-22 00:54:27,1.1
2024-08-22 00:59:27,1.2
2024-08-22 01:04:27,1.4
2024-08-22 01:09:27,1.6
2024-08-22 01:14:27,1.8
2024-08-22 01:19:27,2.1
2024-08-22 01:24:27,2.4
2024-08-22 01:29:27,2.8
2024-08-22 01:34:27,3.1
2024-08-22 01:39:27,3.5
2024-08-22 01:44:27,3.9
2024-08-22 01:49:27,4.3
2024-08-22 01:54:27,4.8
2024-08-22 01:59:27,5.1
2024-08-22 02:04:27,5.4
2024-08-22 02:09:27,5.9
2024-08-22 02:14:27,6.2
2024-08-22 02:19:27,6.6
2024-08-22 02:24:27,6.8
2024-08-22 02:29:27,7.1
2024-08-22 02:34:27,7.5
2024-08-22 02:39:27,7.8
2024-08-22 02:44:27,8.1
2024-08-22 02:49:27,8.4
