------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04FC B300 F82D 0E
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -3
lat, 36.620753
long, -121.904818
accuracy (m), 5.1
------------------------------,--------------------
time,temp
2024-08-21 21:44:59,NA
2024-08-21 21:49:59,24.1
2024-08-21 21:54:59,7.0
2024-08-21 21:59:59,4.4
2024-08-21 22:04:59,4.8
2024-08-21 22:09:59,5.2
2024-08-21 22:14:59,5.6
2024-08-21 22:19:59,6.0
2024-08-21 22:24:59,6.4
2024-08-21 22:29:59,6.8
2024-08-21 22:34:59,7.1
2024-08-21 22:39:59,7.4
2024-08-21 22:44:59,7.9
2024-08-21 22:49:59,8.2
2024-08-21 22:54:59,8.5
2024-08-21 22:59:59,8.8
2024-08-21 23:04:59,9.2
2024-08-21 23:09:59,9.5
2024-08-21 23:14:59,9.7
2024-08-21 23:19:59,10.0
2024-08-21 23:24:59,10.4
2024-08-21 23:29:59,10.6
2024-08-21 23:34:59,10.9
2024-08-21 23:39:59,11.2
2024-08-21 23:44:59,11.5
2024-08-21 23:49:59,11.7
2024-08-21 23:54:59,12.0
2024-08-21 23:59:59,12.5
2024-08-22 00:04:59,12.6
2024-08-22 00:09:59,4.2
2024-08-22 00:14:59,1.2
2024-08-22 00:19:59,0.7
2024-08-22 00:24:59,0.6
2024-08-22 00:29:59,0.6
2024-08-22 00:34:59,0.6
2024-08-22 00:39:59,0.7
2024-08-22 00:44:59,0.8
2024-08-22 00:49:59,0.8
2024-08-22 00:54:59,0.9
2024-08-22 00:59:59,1.1
2024-08-22 01:04:59,1.2
2024-08-22 01:09:59,1.5
2024-08-22 01:14:59,1.7
2024-08-22 01:19:59,2.0
2024-08-22 01:24:59,2.3
2024-08-22 01:29:59,2.7
2024-08-22 01:34:59,3.1
2024-08-22 01:39:59,3.6
2024-08-22 01:44:59,4.0
2024-08-22 01:49:59,4.3
2024-08-22 01:54:59,4.7
2024-08-22 01:59:59,5.1
2024-08-22 02:04:59,5.4
2024-08-22 02:09:59,5.8
2024-08-22 02:14:59,6.2
2024-08-22 02:19:59,6.5
2024-08-22 02:24:59,6.9
2024-08-22 02:29:59,7.2
2024-08-22 02:34:59,7.5
2024-08-22 02:39:59,7.7
2024-08-22 02:44:59,8.1
2024-08-22 02:49:59,8.4
2024-08-22 02:54:59,8.7
2024-08-22 02:59:59,9.0
2024-08-22 03:04:59,9.2
2024-08-22 03:09:59,9.6
