------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 046F 4700 C934 05
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -2
lat, 36.620774
long, -121.904816
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2024-08-21 21:48:01,NA
2024-08-21 21:53:01,23.9
2024-08-21 21:58:01,12.4
2024-08-21 22:03:01,4.5
2024-08-21 22:08:01,4.6
2024-08-21 22:13:01,5.0
2024-08-21 22:18:01,5.5
2024-08-21 22:23:01,5.8
2024-08-21 22:28:01,6.2
2024-08-21 22:33:01,6.6
2024-08-21 22:38:01,7.0
2024-08-21 22:43:01,7.3
2024-08-21 22:48:01,7.7
2024-08-21 22:53:01,8.1
2024-08-21 22:58:01,8.4
2024-08-21 23:03:01,8.7
2024-08-21 23:08:01,9.0
2024-08-21 23:13:01,9.3
2024-08-21 23:18:01,9.6
2024-08-21 23:23:01,9.9
2024-08-21 23:28:01,10.2
2024-08-21 23:33:01,10.5
2024-08-21 23:38:01,10.8
2024-08-21 23:43:01,11.1
2024-08-21 23:48:01,11.4
2024-08-21 23:53:01,11.6
2024-08-21 23:58:01,11.8
2024-08-22 00:03:01,12.0
2024-08-22 00:08:01,12.2
2024-08-22 00:13:01,9.5
2024-08-22 00:18:01,2.4
2024-08-22 00:23:01,1.0
2024-08-22 00:28:01,0.7
2024-08-22 00:33:01,0.7
2024-08-22 00:38:01,0.8
2024-08-22 00:43:01,0.8
2024-08-22 00:48:01,0.9
2024-08-22 00:53:01,0.9
2024-08-22 00:58:01,0.9
2024-08-22 01:03:01,1.1
2024-08-22 01:08:01,1.2
2024-08-22 01:13:01,1.4
2024-08-22 01:18:01,1.6
2024-08-22 01:23:01,1.9
2024-08-22 01:28:01,2.2
2024-08-22 01:33:01,2.6
2024-08-22 01:38:01,2.9
2024-08-22 01:43:01,3.3
2024-08-22 01:48:01,3.7
2024-08-22 01:53:01,4.1
2024-08-22 01:58:01,4.5
2024-08-22 02:03:01,4.9
2024-08-22 02:08:01,5.3
2024-08-22 02:13:01,5.6
2024-08-22 02:18:01,6.0
2024-08-22 02:23:01,6.4
2024-08-22 02:28:01,6.7
2024-08-22 02:33:01,7.0
2024-08-22 02:38:01,7.3
2024-08-22 02:43:01,7.7
2024-08-22 02:48:01,8.0
2024-08-22 02:53:01,8.2
2024-08-22 02:58:01,8.5
2024-08-22 03:03:01,8.8
2024-08-22 03:08:01,9.1
2024-08-22 03:13:01,9.4
2024-08-22 03:18:01,9.7
