------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04D4 4900 4521 04
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 231
time diff [logger-smartphone](sec), -3
lat, 36.620745
long, -121.904808
accuracy (m), 5.0
------------------------------,--------------------
time,temp
2024-08-21 21:46:41,NA
2024-08-21 21:51:41,24.0
2024-08-21 21:56:41,21.2
2024-08-21 22:01:41,4.8
2024-08-21 22:06:41,4.5
2024-08-21 22:11:41,4.9
2024-08-21 22:16:41,5.3
2024-08-21 22:21:41,5.7
2024-08-21 22:26:41,6.1
2024-08-21 22:31:41,6.5
2024-08-21 22:36:41,6.9
2024-08-21 22:41:41,7.2
2024-08-21 22:46:41,7.6
2024-08-21 22:51:41,7.9
2024-08-21 22:56:41,8.3
2024-08-21 23:01:41,8.6
2024-08-21 23:06:41,8.9
2024-08-21 23:11:41,9.2
2024-08-21 23:16:41,9.5
2024-08-21 23:21:41,9.9
2024-08-21 23:26:41,10.1
2024-08-21 23:31:41,10.4
2024-08-21 23:36:41,10.8
2024-08-21 23:41:41,11.0
2024-08-21 23:46:41,11.3
2024-08-21 23:51:41,11.5
2024-08-21 23:56:41,11.7
2024-08-22 00:01:41,11.9
2024-08-22 00:06:41,12.2
2024-08-22 00:11:41,11.9
2024-08-22 00:16:41,2.4
2024-08-22 00:21:41,0.9
2024-08-22 00:26:41,0.7
2024-08-22 00:31:41,0.7
2024-08-22 00:36:41,0.7
2024-08-22 00:41:41,0.7
2024-08-22 00:46:41,0.7
2024-08-22 00:51:41,0.8
2024-08-22 00:56:41,0.9
2024-08-22 01:01:41,1.0
2024-08-22 01:06:41,1.1
2024-08-22 01:11:41,1.3
2024-08-22 01:16:41,1.6
2024-08-22 01:21:41,1.9
2024-08-22 01:26:41,2.2
2024-08-22 01:31:41,2.5
2024-08-22 01:36:41,2.9
2024-08-22 01:41:41,3.3
2024-08-22 01:46:41,3.7
2024-08-22 01:51:41,4.0
2024-08-22 01:56:41,4.4
2024-08-22 02:01:41,4.8
2024-08-22 02:06:41,5.2
2024-08-22 02:11:41,5.6
2024-08-22 02:16:41,5.9
2024-08-22 02:21:41,6.3
2024-08-22 02:26:41,6.6
2024-08-22 02:31:41,7.0
2024-08-22 02:36:41,7.3
2024-08-22 02:41:41,7.5
2024-08-22 02:46:41,7.9
2024-08-22 02:51:41,8.2
2024-08-22 02:56:41,8.5
2024-08-22 03:01:41,8.8
2024-08-22 03:06:41,9.0
2024-08-22 03:11:41,9.4
2024-08-22 03:16:41,9.6
