------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04A5 3700 374B 0F
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -5
lat, 36.620759
long, -121.904812
accuracy (m), 5.0
------------------------------,--------------------
time,temp
2024-08-21 21:39:24,NA
2024-08-21 21:44:24,26.2
2024-08-21 21:49:24,25.1
2024-08-21 21:54:24,7.6
2024-08-21 21:59:24,4.4
2024-08-21 22:04:24,4.8
2024-08-21 22:09:24,5.1
2024-08-21 22:14:24,5.5
2024-08-21 22:19:24,5.9
2024-08-21 22:24:24,6.3
2024-08-21 22:29:24,6.7
2024-08-21 22:34:24,7.1
2024-08-21 22:39:24,7.4
2024-08-21 22:44:24,7.7
2024-08-21 22:49:24,8.1
2024-08-21 22:54:24,8.5
2024-08-21 22:59:24,8.8
2024-08-21 23:04:24,9.1
2024-08-21 23:09:24,9.4
2024-08-21 23:14:24,9.7
2024-08-21 23:19:24,9.9
2024-08-21 23:24:24,10.3
2024-08-21 23:29:24,10.5
2024-08-21 23:34:24,10.8
2024-08-21 23:39:24,11.1
2024-08-21 23:44:24,11.4
2024-08-21 23:49:24,11.7
2024-08-21 23:54:24,11.8
2024-08-21 23:59:24,12.1
2024-08-22 00:04:24,12.4
2024-08-22 00:09:24,6.8
2024-08-22 00:14:24,1.6
2024-08-22 00:19:24,0.9
2024-08-22 00:24:24,0.6
2024-08-22 00:29:24,0.6
2024-08-22 00:34:24,0.6
2024-08-22 00:39:24,0.7
2024-08-22 00:44:24,0.8
2024-08-22 00:49:24,0.9
2024-08-22 00:54:24,1.0
2024-08-22 00:59:24,1.1
2024-08-22 01:04:24,1.2
2024-08-22 01:09:24,1.4
2024-08-22 01:14:24,1.6
2024-08-22 01:19:24,1.9
2024-08-22 01:24:24,2.2
2024-08-22 01:29:24,2.6
2024-08-22 01:34:24,3.0
2024-08-22 01:39:24,3.4
2024-08-22 01:44:24,3.8
2024-08-22 01:49:24,4.2
2024-08-22 01:54:24,4.6
2024-08-22 01:59:24,4.9
2024-08-22 02:04:24,5.3
2024-08-22 02:09:24,5.7
2024-08-22 02:14:24,6.1
2024-08-22 02:19:24,6.4
2024-08-22 02:24:24,6.7
2024-08-22 02:29:24,7.1
2024-08-22 02:34:24,7.4
2024-08-22 02:39:24,7.7
2024-08-22 02:44:24,8.0
2024-08-22 02:49:24,8.4
2024-08-22 02:54:24,8.6
2024-08-22 02:59:24,8.9
2024-08-22 03:04:24,9.2
