------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0460 1700 1840 09
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 229
time diff [logger-smartphone](sec), -2
lat, 36.620714
long, -121.904799
accuracy (m), 5.3
------------------------------,--------------------
time,temp
2024-08-21 21:39:58,NA
2024-08-21 21:44:58,24.5
2024-08-21 21:49:58,23.8
2024-08-21 21:54:58,6.2
2024-08-21 21:59:58,4.3
2024-08-21 22:04:58,4.7
2024-08-21 22:09:58,5.1
2024-08-21 22:14:58,5.5
2024-08-21 22:19:58,5.9
2024-08-21 22:24:58,6.2
2024-08-21 22:29:58,6.6
2024-08-21 22:34:58,7.0
2024-08-21 22:39:58,7.4
2024-08-21 22:44:58,7.8
2024-08-21 22:49:58,8.0
2024-08-21 22:54:58,8.4
2024-08-21 22:59:58,8.8
2024-08-21 23:04:58,9.0
2024-08-21 23:09:58,9.3
2024-08-21 23:14:58,9.7
2024-08-21 23:19:58,10.0
2024-08-21 23:24:58,10.3
2024-08-21 23:29:58,10.5
2024-08-21 23:34:58,10.8
2024-08-21 23:39:58,11.1
2024-08-21 23:44:58,11.4
2024-08-21 23:49:58,11.6
2024-08-21 23:54:58,11.8
2024-08-21 23:59:58,12.0
2024-08-22 00:04:58,12.4
2024-08-22 00:09:58,5.3
2024-08-22 00:14:58,1.4
2024-08-22 00:19:58,0.7
2024-08-22 00:24:58,0.5
2024-08-22 00:29:58,0.6
2024-08-22 00:34:58,0.6
2024-08-22 00:39:58,0.7
2024-08-22 00:44:58,0.7
2024-08-22 00:49:58,0.8
2024-08-22 00:54:58,0.9
2024-08-22 00:59:58,1.0
2024-08-22 01:04:58,1.1
2024-08-22 01:09:58,1.4
2024-08-22 01:14:58,1.6
2024-08-22 01:19:58,1.8
2024-08-22 01:24:58,2.2
2024-08-22 01:29:58,2.6
2024-08-22 01:34:58,2.9
2024-08-22 01:39:58,3.3
2024-08-22 01:44:58,3.7
2024-08-22 01:49:58,4.1
2024-08-22 01:54:58,4.5
2024-08-22 01:59:58,4.8
2024-08-22 02:04:58,5.3
2024-08-22 02:09:58,5.7
2024-08-22 02:14:58,6.0
2024-08-22 02:19:58,6.3
2024-08-22 02:24:58,6.6
2024-08-22 02:29:58,7.0
2024-08-22 02:34:58,7.3
2024-08-22 02:39:58,7.6
2024-08-22 02:44:58,7.9
2024-08-22 02:49:58,8.3
2024-08-22 02:54:58,8.6
2024-08-22 02:59:58,8.9
2024-08-22 03:04:58,9.1
2024-08-22 03:09:58,9.4
