------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 0412 4400 DD3A 05
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 230
time diff [logger-smartphone](sec), -3
lat, 36.620774
long, -121.904811
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2024-08-21 21:46:00,NA
2024-08-21 21:51:00,24.4
2024-08-21 21:56:00,23.8
2024-08-21 22:01:00,5.0
2024-08-21 22:06:00,4.4
2024-08-21 22:11:00,4.8
2024-08-21 22:16:00,5.2
2024-08-21 22:21:00,5.6
2024-08-21 22:26:00,6.0
2024-08-21 22:31:00,6.4
2024-08-21 22:36:00,6.8
2024-08-21 22:41:00,7.1
2024-08-21 22:46:00,7.5
2024-08-21 22:51:00,7.8
2024-08-21 22:56:00,8.2
2024-08-21 23:01:00,8.5
2024-08-21 23:06:00,8.9
2024-08-21 23:11:00,9.1
2024-08-21 23:16:00,9.5
2024-08-21 23:21:00,9.8
2024-08-21 23:26:00,10.1
2024-08-21 23:31:00,10.3
2024-08-21 23:36:00,10.6
2024-08-21 23:41:00,10.9
2024-08-21 23:46:00,11.1
2024-08-21 23:51:00,11.4
2024-08-21 23:56:00,11.7
2024-08-22 00:01:00,11.9
2024-08-22 00:06:00,12.0
2024-08-22 00:11:00,12.6
2024-08-22 00:16:00,5.3
2024-08-22 00:21:00,1.7
2024-08-22 00:26:00,0.9
2024-08-22 00:31:00,0.6
2024-08-22 00:36:00,0.7
2024-08-22 00:41:00,0.7
2024-08-22 00:46:00,0.7
2024-08-22 00:51:00,0.8
2024-08-22 00:56:00,1.0
2024-08-22 01:01:00,1.1
2024-08-22 01:06:00,1.1
2024-08-22 01:11:00,1.3
2024-08-22 01:16:00,1.4
2024-08-22 01:21:00,1.7
2024-08-22 01:26:00,1.9
2024-08-22 01:31:00,2.3
2024-08-22 01:36:00,2.7
2024-08-22 01:41:00,3.0
2024-08-22 01:46:00,3.4
2024-08-22 01:51:00,3.8
2024-08-22 01:56:00,4.3
2024-08-22 02:01:00,4.7
2024-08-22 02:06:00,5.0
2024-08-22 02:11:00,5.4
2024-08-22 02:16:00,5.7
2024-08-22 02:21:00,6.2
2024-08-22 02:26:00,6.4
2024-08-22 02:31:00,6.8
2024-08-22 02:36:00,7.1
2024-08-22 02:41:00,7.4
2024-08-22 02:46:00,7.8
2024-08-22 02:51:00,8.1
2024-08-22 02:56:00,8.4
2024-08-22 03:01:00,8.7
2024-08-22 03:06:00,8.9
2024-08-22 03:11:00,9.2
