7450-176547
OS REV: 1.05 Sensor Cal: 1695329266
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1724276160,+3.51,+24.923, +8.539,+0.988
1724276760,+3.52,+24.562, +8.580,+0.988
1724277360,+3.53, +6.471, +5.835,+0.990
1724277960,+3.53, +5.182, +7.208,+0.992
1724278560,+3.53, +5.608, +8.237,+0.993
1724279160,+3.53, +6.237, +9.011,+0.993
1724279760,+3.53, +6.955, +9.579,+0.993
1724280360,+3.53, +7.625,+10.015,+0.993
1724280960,+3.53, +8.316,+10.334,+0.993
1724281560,+3.53, +8.952,+10.565,+0.993
1724282160,+3.53, +9.536,+10.738,+0.993
1724282760,+3.53,+10.160,+10.824,+0.993
1724283360,+3.53,+10.697,+10.880,+0.992
1724283960,+3.53,+11.229,+10.890,+0.992
1724284560,+3.53,+11.695,+10.841,+0.992
1724285160,+3.52,+11.193,+10.267,+0.989
1724285760,+3.53, +2.048, +9.785,+0.984
1724286360,+3.53, +0.855,+10.283,+0.984
1724286960,+3.53, +0.637,+10.704,+0.985
1724287560,+3.53, +0.669,+11.031,+0.985
1724288160,+3.53, +0.811,+11.251,+0.985
1724288760,+3.52, +1.061,+11.635,+0.986
1724289360,+3.53, +1.428,+11.996,+0.987
1724289960,+3.53, +2.111,+12.203,+0.988
1724290560,+3.53, +2.847,+12.387,+0.989
1724291160,+3.52, +3.634,+12.511,+0.989
1724291760,+3.53, +4.409,+12.549,+0.990
1724292360,+3.52, +5.182,+12.589,+0.991
1724292960,+3.52, +5.923,+12.547,+0.991
1724293560,+3.53, +6.587,+12.515,+0.991
1724294160,+3.52, +7.272,+12.472,+0.992
1724294760,+3.53, +7.872,+12.351,+0.992
1724295360,+3.52, +8.494,+12.229,+0.991
1724295960,+3.52, +9.054,+12.103,+0.991
1724296560,+3.52, +9.582,+11.987,+0.991
1724297160,+3.52,+10.087,+11.864,+0.991
1724297760,+3.52,+10.579,+11.741,+0.991
1724298360,+3.52,+11.040,+11.614,+0.991
1724298960,+3.52,+11.463,+11.488,+0.991
1724299560,+3.52,+11.892,+11.344,+0.991
1724300160,+3.52,+12.283,+11.222,+0.990
1724300760,+3.52,+12.672,+11.093,+0.990
1724301360,+3.52,+12.998,+10.996,+0.990
1724301960,+3.51,+13.366,+10.860,+0.989
1724302560,+3.52,+13.655,+10.783,+0.989
1724303160,+3.52,+13.986,+10.673,+0.989
1724303760,+3.51,+14.272,+10.583,+0.989
1724304360,+3.51,+14.541,+10.488,+0.989
1724304960,+3.52,+14.791,+10.438,+0.990
1724305560,+3.52,+15.067,+10.349,+0.990
1724306160,+3.51,+15.299,+10.260,+0.989
1724306760,+3.51,+15.522,+10.207,+0.989
1724307360,+3.51,+15.736,+10.138,+0.988
1724307960,+3.51,+15.950,+10.071,+0.988
1724308560,+3.51,+16.164,+10.014,+0.988
1724309160,+3.51,+16.343, +9.960,+0.988
1724309760,+3.51,+16.496, +9.933,+0.988
1724310360,+3.51,+16.708, +9.865,+0.988
1724310960,+3.51,+16.870, +9.822,+0.988
1724311560,+3.51,+17.014, +9.806,+0.989
1724312160,+3.51,+17.183, +9.745,+0.988
1724312760,+3.51,+17.361, +9.698,+0.988
1724313360,+3.51,+17.488, +9.701,+0.988
1724313960,+3.51,+17.649, +9.669,+0.987
1724314560,+3.51,+17.792, +9.668,+0.988
1724315160,+3.51,+17.919, +9.652,+0.988
1724315760,+3.51,+18.062, +9.628,+0.987
1724316360,+3.51,+18.189, +9.613,+0.988
1724316960,+3.51,+18.298, +9.608,+0.988
1724317560,+3.51,+18.433, +9.602,+0.988
1724318160,+3.51,+18.567, +9.574,+0.988
1724318760,+3.51,+18.668, +9.562,+0.988
1724319360,+3.51,+18.820, +9.531,+0.988
1724319960,+3.50,+18.887, +9.522,+0.987
1724320560,+3.51,+19.004, +9.498,+0.987
1724321160,+3.51,+19.114, +9.484,+0.988
1724321760,+3.51,+19.231, +9.455,+0.987
1724322360,+3.51,+19.315, +9.446,+0.988
1724322960,+3.51,+19.416, +9.418,+0.987
1724323560,+3.51,+19.508, +9.415,+0.988
1724324160,+3.51,+19.592, +9.388,+0.987
1724324760,+3.50,+19.675, +9.382,+0.988
1724325360,+3.50,+19.759, +9.359,+0.987
1724325960,+3.50,+19.851, +9.342,+0.987
1724326560,+3.50,+19.927, +9.330,+0.988
1724327160,+3.50,+19.994, +9.323,+0.988
1724327760,+3.51,+20.069, +9.291,+0.987
1724328360,+3.51,+20.128, +9.287,+0.988
1724328960,+3.51,+20.220, +9.255,+0.987
1724329560,+3.51,+20.287, +9.247,+0.987
1724330160,+3.51,+20.337, +9.231,+0.987
1724330760,+3.51,+20.421, +9.211,+0.987
1724331360,+3.51,+20.462, +9.206,+0.988
1724331960,+3.51,+20.538, +9.190,+0.988
